Sequence ID	Score
BG4_G4Seq_HaCaT_GSE76688_peak168	0.48753765
BG4_G4Seq_HaCaT_GSE76688_peak169	0.7340772
BG4_G4Seq_HaCaT_GSE76688_peak170	0.5654523
BG4_G4Seq_HaCaT_GSE76688_peak171	0.009513634
BG4_G4Seq_HaCaT_GSE76688_peak172	0.77443177
BG4_G4Seq_HaCaT_GSE76688_peak173	0.9039414
BG4_G4Seq_HaCaT_GSE76688_peak174	0.034811456
BG4_G4Seq_HaCaT_GSE76688_peak175	0.911273
BG4_G4Seq_HaCaT_GSE76688_peak176	0.9040507
BG4_G4Seq_HaCaT_GSE76688_peak177	0.095496505
BG4_G4Seq_HaCaT_GSE76688_peak178	0.3998252
BG4_G4Seq_HaCaT_GSE76688_peak179	0.5852328
BG4_G4Seq_HaCaT_GSE76688_peak180	0.9649748
BG4_G4Seq_HaCaT_GSE76688_peak181	0.07185389
BG4_G4Seq_HaCaT_GSE76688_peak182	0.07577189
BG4_G4Seq_HaCaT_GSE76688_peak183	0.9841891
BG4_G4Seq_HaCaT_GSE76688_peak184	0.42972612
BG4_G4Seq_HaCaT_GSE76688_peak185	0.16402805
BG4_G4Seq_HaCaT_GSE76688_peak186	0.9412129
BG4_G4Seq_HaCaT_GSE76688_peak187	0.32678482
BG4_G4Seq_HaCaT_GSE76688_peak188	0.044998057
BG4_G4Seq_HaCaT_GSE76688_peak189	0.89440876
BG4_G4Seq_HaCaT_GSE76688_peak190	0.04903985
BG4_G4Seq_HaCaT_GSE76688_peak191	0.52064306
BG4_G4Seq_HaCaT_GSE76688_peak192	0.9977793
BG4_G4Seq_HaCaT_GSE76688_peak193	0.42213923
BG4_G4Seq_HaCaT_GSE76688_peak194	0.036678664
BG4_G4Seq_HaCaT_GSE76688_peak195	0.9302921
BG4_G4Seq_HaCaT_GSE76688_peak196	0.43049583
BG4_G4Seq_HaCaT_GSE76688_peak197	0.03662833
BG4_G4Seq_HaCaT_GSE76688_peak198	0.019413438
BG4_G4Seq_HaCaT_GSE76688_peak199	0.0015598211
BG4_G4Seq_HaCaT_GSE76688_peak200	0.81992954
BG4_G4Seq_HaCaT_GSE76688_peak201	0.8644329
BG4_G4Seq_HaCaT_GSE76688_peak202	0.132372
BG4_G4Seq_HaCaT_GSE76688_peak203	0.013767529
BG4_G4Seq_HaCaT_GSE76688_peak204	0.1322424
BG4_G4Seq_HaCaT_GSE76688_peak205	0.8833683
BG4_G4Seq_HaCaT_GSE76688_peak206	0.8907582
BG4_G4Seq_HaCaT_GSE76688_peak207	0.76058865
BG4_G4Seq_HaCaT_GSE76688_peak208	0.047186494
BG4_G4Seq_HaCaT_GSE76688_peak209	0.9218573
BG4_G4Seq_HaCaT_GSE76688_peak210	0.6199552
BG4_G4Seq_HaCaT_GSE76688_peak211	0.8389376
BG4_G4Seq_HaCaT_GSE76688_peak212	0.87608194
BG4_G4Seq_HaCaT_GSE76688_peak213	0.7659654
BG4_G4Seq_HaCaT_GSE76688_peak214	0.055090763
BG4_G4Seq_HaCaT_GSE76688_peak215	0.71151525
BG4_G4Seq_HaCaT_GSE76688_peak216	0.6543058
BG4_G4Seq_HaCaT_GSE76688_peak217	0.7286865
BG4_G4Seq_HaCaT_GSE76688_peak218	0.01879309
BG4_G4Seq_HaCaT_GSE76688_peak219	0.018577615
BG4_G4Seq_HaCaT_GSE76688_peak220	0.97125566
BG4_G4Seq_HaCaT_GSE76688_peak221	0.7662719
BG4_G4Seq_HaCaT_GSE76688_peak222	0.2206956
BG4_G4Seq_HaCaT_GSE76688_peak223	0.49824262
BG4_G4Seq_HaCaT_GSE76688_peak224	0.68482435
BG4_G4Seq_HaCaT_GSE76688_peak225	0.123469256
BG4_G4Seq_HaCaT_GSE76688_peak226	0.54029346
BG4_G4Seq_HaCaT_GSE76688_peak227	0.050381992
BG4_G4Seq_HaCaT_GSE76688_peak228	0.3069352
BG4_G4Seq_HaCaT_GSE76688_peak229	0.0622833
BG4_G4Seq_HaCaT_GSE76688_peak230	0.5574652
BG4_G4Seq_HaCaT_GSE76688_peak231	0.7675719
BG4_G4Seq_HaCaT_GSE76688_peak232	0.90137273
BG4_G4Seq_HaCaT_GSE76688_peak233	0.32487756
BG4_G4Seq_HaCaT_GSE76688_peak234	0.0042215553
BG4_G4Seq_HaCaT_GSE76688_peak235	0.967554
BG4_G4Seq_HaCaT_GSE76688_peak236	0.2141356
BG4_G4Seq_HaCaT_GSE76688_peak237	0.99855286
BG4_G4Seq_HaCaT_GSE76688_peak238	0.1371582
BG4_G4Seq_HaCaT_GSE76688_peak239	0.15875968
BG4_G4Seq_HaCaT_GSE76688_peak240	0.83293694
BG4_G4Seq_HaCaT_GSE76688_peak241	0.71110064
BG4_G4Seq_HaCaT_GSE76688_peak242	0.016738627
BG4_G4Seq_HaCaT_GSE76688_peak243	0.33912873
BG4_G4Seq_HaCaT_GSE76688_peak244	0.9484498
BG4_G4Seq_HaCaT_GSE76688_peak245	0.5458619
BG4_G4Seq_HaCaT_GSE76688_peak246	0.3428488
BG4_G4Seq_HaCaT_GSE76688_peak247	0.56886923
BG4_G4Seq_HaCaT_GSE76688_peak248	0.37208754
BG4_G4Seq_HaCaT_GSE76688_peak249	0.95398504
BG4_G4Seq_HaCaT_GSE76688_peak250	0.8395589
BG4_G4Seq_HaCaT_GSE76688_peak251	0.6397156
BG4_G4Seq_HaCaT_GSE76688_peak252	0.6702266
BG4_G4Seq_HaCaT_GSE76688_peak253	0.31338492
BG4_G4Seq_HaCaT_GSE76688_peak254	0.97369915
BG4_G4Seq_HaCaT_GSE76688_peak255	0.6745036
BG4_G4Seq_HaCaT_GSE76688_peak256	0.035926167
BG4_G4Seq_HaCaT_GSE76688_peak257	0.5322433
BG4_G4Seq_HaCaT_GSE76688_peak258	0.1483711
BG4_G4Seq_HaCaT_GSE76688_peak259	0.6019261
BG4_G4Seq_HaCaT_GSE76688_peak260	0.013614629
BG4_G4Seq_HaCaT_GSE76688_peak261	0.04731742
BG4_G4Seq_HaCaT_GSE76688_peak262	0.2932104
BG4_G4Seq_HaCaT_GSE76688_peak263	0.103905804
BG4_G4Seq_HaCaT_GSE76688_peak264	0.047383938
BG4_G4Seq_HaCaT_GSE76688_peak265	0.084084965
BG4_G4Seq_HaCaT_GSE76688_peak266	0.10882029
BG4_G4Seq_HaCaT_GSE76688_peak267	0.19899283
BG4_G4Seq_HaCaT_GSE76688_peak268	0.27104923
BG4_G4Seq_HaCaT_GSE76688_peak269	0.04093006
BG4_G4Seq_HaCaT_GSE76688_peak270	0.2808126
BG4_G4Seq_HaCaT_GSE76688_peak271	0.64433277
BG4_G4Seq_HaCaT_GSE76688_peak272	0.19585952
BG4_G4Seq_HaCaT_GSE76688_peak273	0.6040086
BG4_G4Seq_HaCaT_GSE76688_peak274	0.124649055
BG4_G4Seq_HaCaT_GSE76688_peak275	0.9205774
BG4_G4Seq_HaCaT_GSE76688_peak276	0.8106928
BG4_G4Seq_HaCaT_GSE76688_peak277	0.18650062
BG4_G4Seq_HaCaT_GSE76688_peak278	0.41787323
BG4_G4Seq_HaCaT_GSE76688_peak279	0.6969313
BG4_G4Seq_HaCaT_GSE76688_peak280	0.02161261
BG4_G4Seq_HaCaT_GSE76688_peak281	0.8506661
BG4_G4Seq_HaCaT_GSE76688_peak282	0.97885305
BG4_G4Seq_HaCaT_GSE76688_peak283	0.9172905
BG4_G4Seq_HaCaT_GSE76688_peak284	0.9237809
BG4_G4Seq_HaCaT_GSE76688_peak285	0.9972224
BG4_G4Seq_HaCaT_GSE76688_peak286	0.67947376
BG4_G4Seq_HaCaT_GSE76688_peak287	0.49842757
BG4_G4Seq_HaCaT_GSE76688_peak288	0.8311764
BG4_G4Seq_HaCaT_GSE76688_peak289	0.23152041
BG4_G4Seq_HaCaT_GSE76688_peak290	0.32686773
BG4_G4Seq_HaCaT_GSE76688_peak291	0.10062454
BG4_G4Seq_HaCaT_GSE76688_peak292	0.12524354
BG4_G4Seq_HaCaT_GSE76688_peak293	0.37174577
BG4_G4Seq_HaCaT_GSE76688_peak294	0.9702928
BG4_G4Seq_HaCaT_GSE76688_peak295	0.10765478
BG4_G4Seq_HaCaT_GSE76688_peak296	0.7944443
BG4_G4Seq_HaCaT_GSE76688_peak297	0.99786264
BG4_G4Seq_HaCaT_GSE76688_peak298	0.90428054
BG4_G4Seq_HaCaT_GSE76688_peak299	0.51969314
BG4_G4Seq_HaCaT_GSE76688_peak300	0.77477086
BG4_G4Seq_HaCaT_GSE76688_peak301	0.9403465
BG4_G4Seq_HaCaT_GSE76688_peak302	0.82049054
BG4_G4Seq_HaCaT_GSE76688_peak303	0.5616485
BG4_G4Seq_HaCaT_GSE76688_peak304	0.015629161
BG4_G4Seq_HaCaT_GSE76688_peak305	0.61540556
BG4_G4Seq_HaCaT_GSE76688_peak306	0.09123847
BG4_G4Seq_HaCaT_GSE76688_peak307	0.548291
BG4_G4Seq_HaCaT_GSE76688_peak308	0.107288755
BG4_G4Seq_HaCaT_GSE76688_peak309	0.41388655
BG4_G4Seq_HaCaT_GSE76688_peak310	0.8305387
BG4_G4Seq_HaCaT_GSE76688_peak311	0.6634686
BG4_G4Seq_HaCaT_GSE76688_peak312	0.83801425
BG4_G4Seq_HaCaT_GSE76688_peak313	0.8821938
BG4_G4Seq_HaCaT_GSE76688_peak314	0.07028746
BG4_G4Seq_HaCaT_GSE76688_peak315	0.25329584
BG4_G4Seq_HaCaT_GSE76688_peak316	0.7723983
BG4_G4Seq_HaCaT_GSE76688_peak317	0.7860931
BG4_G4Seq_HaCaT_GSE76688_peak318	0.19789983
BG4_G4Seq_HaCaT_GSE76688_peak319	0.359958
BG4_G4Seq_HaCaT_GSE76688_peak320	0.73564726
BG4_G4Seq_HaCaT_GSE76688_peak321	0.6472531
BG4_G4Seq_HaCaT_GSE76688_peak322	0.8881828
BG4_G4Seq_HaCaT_GSE76688_peak323	0.87608415
BG4_G4Seq_HaCaT_GSE76688_peak324	0.776677
BG4_G4Seq_HaCaT_GSE76688_peak325	0.7961448
BG4_G4Seq_HaCaT_GSE76688_peak326	0.20060354
BG4_G4Seq_HaCaT_GSE76688_peak327	0.53270614
BG4_G4Seq_HaCaT_GSE76688_peak328	0.22814801
BG4_G4Seq_HaCaT_GSE76688_peak329	0.597121
BG4_G4Seq_HaCaT_GSE76688_peak330	0.32129112
BG4_G4Seq_HaCaT_GSE76688_peak331	0.995024
BG4_G4Seq_HaCaT_GSE76688_peak332	0.820552
BG4_G4Seq_HaCaT_GSE76688_peak333	0.1695109
BG4_G4Seq_HaCaT_GSE76688_peak334	0.56114745
BG4_G4Seq_HaCaT_GSE76688_peak335	0.9968856
BG4_G4Seq_HaCaT_GSE76688_peak336	0.02142748
BG4_G4Seq_HaCaT_GSE76688_peak337	0.18703938
BG4_G4Seq_HaCaT_GSE76688_peak338	0.33046892
BG4_G4Seq_HaCaT_GSE76688_peak339	0.06210576
BG4_G4Seq_HaCaT_GSE76688_peak340	0.9421336
BG4_G4Seq_HaCaT_GSE76688_peak341	0.9735198
BG4_G4Seq_HaCaT_GSE76688_peak342	0.7355828
BG4_G4Seq_HaCaT_GSE76688_peak343	0.0679061
BG4_G4Seq_HaCaT_GSE76688_peak344	0.70726764
BG4_G4Seq_HaCaT_GSE76688_peak345	0.7423761
BG4_G4Seq_HaCaT_GSE76688_peak346	0.575401
BG4_G4Seq_HaCaT_GSE76688_peak347	0.83496076
BG4_G4Seq_HaCaT_GSE76688_peak348	0.6025254
BG4_G4Seq_HaCaT_GSE76688_peak349	0.59618735
BG4_G4Seq_HaCaT_GSE76688_peak350	0.94739485
BG4_G4Seq_HaCaT_GSE76688_peak351	0.2892481
BG4_G4Seq_HaCaT_GSE76688_peak352	0.90962595
BG4_G4Seq_HaCaT_GSE76688_peak353	0.17890061
BG4_G4Seq_HaCaT_GSE76688_peak354	0.62263584
BG4_G4Seq_HaCaT_GSE76688_peak355	0.7875766
BG4_G4Seq_HaCaT_GSE76688_peak356	0.060284052
BG4_G4Seq_HaCaT_GSE76688_peak357	0.13848224
BG4_G4Seq_HaCaT_GSE76688_peak358	0.51440936
BG4_G4Seq_HaCaT_GSE76688_peak359	0.049756143
BG4_G4Seq_HaCaT_GSE76688_peak360	0.43848374
BG4_G4Seq_HaCaT_GSE76688_peak361	0.5578827
BG4_G4Seq_HaCaT_GSE76688_peak362	0.88643676
BG4_G4Seq_HaCaT_GSE76688_peak363	0.03768158
BG4_G4Seq_HaCaT_GSE76688_peak364	0.057274736
BG4_G4Seq_HaCaT_GSE76688_peak365	0.16770858
BG4_G4Seq_HaCaT_GSE76688_peak366	0.012278519
BG4_G4Seq_HaCaT_GSE76688_peak367	0.026093207
BG4_G4Seq_HaCaT_GSE76688_peak368	0.821084
BG4_G4Seq_HaCaT_GSE76688_peak369	0.8151119
BG4_G4Seq_HaCaT_GSE76688_peak370	0.32665455
BG4_G4Seq_HaCaT_GSE76688_peak371	0.9752812
BG4_G4Seq_HaCaT_GSE76688_peak372	0.015061442
BG4_G4Seq_HaCaT_GSE76688_peak373	0.061951034
BG4_G4Seq_HaCaT_GSE76688_peak374	0.71011835
BG4_G4Seq_HaCaT_GSE76688_peak375	0.010731634
BG4_G4Seq_HaCaT_GSE76688_peak376	0.40086874
BG4_G4Seq_HaCaT_GSE76688_peak377	0.017285759
BG4_G4Seq_HaCaT_GSE76688_peak378	0.66875684
BG4_G4Seq_HaCaT_GSE76688_peak379	0.05368038
BG4_G4Seq_HaCaT_GSE76688_peak380	0.4298585
BG4_G4Seq_HaCaT_GSE76688_peak381	0.1611555
BG4_G4Seq_HaCaT_GSE76688_peak382	0.108010694
BG4_G4Seq_HaCaT_GSE76688_peak383	0.09959362
BG4_G4Seq_HaCaT_GSE76688_peak384	0.9386776
BG4_G4Seq_HaCaT_GSE76688_peak385	0.058763184
BG4_G4Seq_HaCaT_GSE76688_peak386	0.9520256
BG4_G4Seq_HaCaT_GSE76688_peak387	0.059456255
BG4_G4Seq_HaCaT_GSE76688_peak388	0.109442316
BG4_G4Seq_HaCaT_GSE76688_peak389	0.058022443
BG4_G4Seq_HaCaT_GSE76688_peak390	0.8120871
BG4_G4Seq_HaCaT_GSE76688_peak391	0.7550355
BG4_G4Seq_HaCaT_GSE76688_peak392	0.256898
BG4_G4Seq_HaCaT_GSE76688_peak393	0.35659772
BG4_G4Seq_HaCaT_GSE76688_peak394	0.9038483
BG4_G4Seq_HaCaT_GSE76688_peak395	0.036359537
BG4_G4Seq_HaCaT_GSE76688_peak396	0.8204644
BG4_G4Seq_HaCaT_GSE76688_peak397	0.005473891
BG4_G4Seq_HaCaT_GSE76688_peak398	0.005308327
BG4_G4Seq_HaCaT_GSE76688_peak399	0.017237687
BG4_G4Seq_HaCaT_GSE76688_peak400	0.0091355685
BG4_G4Seq_HaCaT_GSE76688_peak401	0.3927331
BG4_G4Seq_HaCaT_GSE76688_peak402	0.24129719
BG4_G4Seq_HaCaT_GSE76688_peak403	0.15280259
BG4_G4Seq_HaCaT_GSE76688_peak404	0.0062312535
BG4_G4Seq_HaCaT_GSE76688_peak405	0.9974841
BG4_G4Seq_HaCaT_GSE76688_peak406	0.23955253
BG4_G4Seq_HaCaT_GSE76688_peak407	0.9688389
BG4_G4Seq_HaCaT_GSE76688_peak408	0.5893547
BG4_G4Seq_HaCaT_GSE76688_peak409	0.47668254
BG4_G4Seq_HaCaT_GSE76688_peak410	0.93928975
BG4_G4Seq_HaCaT_GSE76688_peak411	0.5865032
BG4_G4Seq_HaCaT_GSE76688_peak412	0.90677714
BG4_G4Seq_HaCaT_GSE76688_peak413	0.04338305
BG4_G4Seq_HaCaT_GSE76688_peak414	0.00032863877
BG4_G4Seq_HaCaT_GSE76688_peak415	0.7220944
BG4_G4Seq_HaCaT_GSE76688_peak416	0.5891199
BG4_G4Seq_HaCaT_GSE76688_peak417	0.0039274865
BG4_G4Seq_HaCaT_GSE76688_peak418	0.09202613
BG4_G4Seq_HaCaT_GSE76688_peak419	0.005110785
BG4_G4Seq_HaCaT_GSE76688_peak420	0.7714254
BG4_G4Seq_HaCaT_GSE76688_peak421	0.025514897
BG4_G4Seq_HaCaT_GSE76688_peak422	0.9792173
BG4_G4Seq_HaCaT_GSE76688_peak423	0.023629177
BG4_G4Seq_HaCaT_GSE76688_peak424	0.019618502
BG4_G4Seq_HaCaT_GSE76688_peak425	0.6895836
BG4_G4Seq_HaCaT_GSE76688_peak426	0.9932768
BG4_G4Seq_HaCaT_GSE76688_peak427	0.7550632
BG4_G4Seq_HaCaT_GSE76688_peak428	0.87754995
BG4_G4Seq_HaCaT_GSE76688_peak429	0.995023
BG4_G4Seq_HaCaT_GSE76688_peak430	0.9908835
BG4_G4Seq_HaCaT_GSE76688_peak431	0.97101283
BG4_G4Seq_HaCaT_GSE76688_peak432	0.81682366
BG4_G4Seq_HaCaT_GSE76688_peak433	0.86990905
BG4_G4Seq_HaCaT_GSE76688_peak434	0.6598567
BG4_G4Seq_HaCaT_GSE76688_peak435	0.8694525
BG4_G4Seq_HaCaT_GSE76688_peak436	0.654941
BG4_G4Seq_HaCaT_GSE76688_peak437	0.99964607
